id;title;price_value;price_currency;price_uah;price_raw;location_raw;image_url;ad_url;created_at
909200495;Tesla Model S 90D 2017;17500;USD;739032;None;{'city': {'id': 313, 'name': 'Вінниця', 'normalized_name': 'vinnitsa'}, 'region': {'id': 24, 'name': 'Вінницька область', 'normalized_name': 'vin'}};"https://ireland.apollo.olxcdn.com:443/v1/files/ad58ucaoxd711-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/tesla-model-s-90d-2017-IDZvUA7.html;2025-12-17T12:18:18.637214+00:00
907615894;Хонда аккорд 8 honda accord 8;9050;USD;382185;None;{'city': {'id': 324, 'name': 'Житомир', 'normalized_name': 'zhitomir'}, 'district': {'id': 168, 'name': 'Максютова'}, 'region': {'id': 6, 'name': 'Житомирська область', 'normalized_name': 'zht'}};"https://ireland.apollo.olxcdn.com:443/v1/files/26mlexysw4s5-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/honda-akkord-8-honda-accord-8-IDZqgm2.html;2025-12-17T12:18:18.631458+00:00
908928660;Mitsubishi Pajero      2017;10000;USD;422304;None;{'city': {'id': 124, 'name': 'Рівне', 'normalized_name': 'rovno'}, 'region': {'id': 14, 'name': 'Рівненська область', 'normalized_name': 'rov'}};"https://ireland.apollo.olxcdn.com:443/v1/files/9x0tc71n4p2v-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/mitsubishi-pajero-2017-IDZwLRG.html;2025-12-17T12:18:18.625417+00:00
909197509;Tekken250 R line;1500;USD;63345;None;{'city': {'id': 8609, 'name': 'Калитинка', 'normalized_name': 'kalitinka'}, 'region': {'id': 24, 'name': 'Вінницька область', 'normalized_name': 'vin'}};"https://ireland.apollo.olxcdn.com:443/v1/files/38idb8rjxlcs2-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/tekken250-r-line-IDZvTNX.html;2025-12-17T12:18:18.619179+00:00
907989072;Трактор ЮМЗ-6 1981 року, з документами, справний.;99000;UAH;99000;None;{'city': {'id': 36267, 'name': 'Накваша', 'normalized_name': 'nakvasha'}, 'region': {'id': 5, 'name': 'Львівська область', 'normalized_name': 'lv'}};"https://ireland.apollo.olxcdn.com:443/v1/files/5xp9knsd17z6-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/traktor-yumz-6-1981-roku-z-dokumentami-spravniy-IDZrPr2.html;2025-12-17T12:18:18.612044+00:00
747884606;Свіжопригнанаі ЗЕФІРА 2.0tdi 7місць;2500;USD;105576;None;{'city': {'id': 268, 'name': 'Київ', 'normalized_name': 'kiev'}, 'district': {'id': 11, 'name': 'Печерський'}, 'region': {'id': 25, 'name': 'Київська область', 'normalized_name': 'ko'}};"https://ireland.apollo.olxcdn.com:443/v1/files/kgvgvjlcbfzb2-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/svzhoprignana-zefra-2-0tdi-7msts-IDOC2VV.html;2025-12-17T12:18:18.604122+00:00
909407069;Мазда 6 gg 2.0 Donc газ 2006 рік кузов цілий, гарний стан авто;4700;USD;198482;None;{'city': {'id': 313, 'name': 'Вінниця', 'normalized_name': 'vinnitsa'}, 'region': {'id': 24, 'name': 'Вінницька область', 'normalized_name': 'vin'}};"https://ireland.apollo.olxcdn.com:443/v1/files/aqd25e71sjtg2-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/mazda-6-gg-2-0-donc-gaz-2006-rk-kuzov-tsliy-garniy-stan-avto-IDZxMjX.html;2025-12-17T12:18:18.597858+00:00
900306854;New‼️ мотоцикл питбайк KOVI PIT 150;1300;USD;54899;None;{'city': {'id': 48, 'name': 'Боярка', 'normalized_name': 'boyarka'}, 'region': {'id': 25, 'name': 'Київська область', 'normalized_name': 'ko'}};"https://ireland.apollo.olxcdn.com:443/v1/files/s8asaagz6f9d2-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/new-mototsikl-pitbayk-kovi-pit-150-IDYWAVi.html;2025-12-17T12:18:18.591664+00:00
908879526;Rottor Puncher 250 pro;68000;UAH;68000;None;{'city': {'id': 60, 'name': 'Біла Церква', 'normalized_name': 'belayatserkov'}, 'region': {'id': 25, 'name': 'Київська область', 'normalized_name': 'ko'}};"https://ireland.apollo.olxcdn.com:443/v1/files/um4h2jhcle112-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/rottor-puncher-250-pro-IDZwz5c.html;2025-12-17T12:18:18.585182+00:00
907043569;Картоплесаджалка;5000;UAH;5000;None;{'city': {'id': 8223, 'name': 'Подільське', 'normalized_name': 'suvorovskoe_8223'}, 'region': {'id': 24, 'name': 'Вінницька область', 'normalized_name': 'vin'}};"https://ireland.apollo.olxcdn.com:443/v1/files/ktb8sj4jmoor-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/kartoplesadzhalka-IDZnRsZ.html;2025-12-17T12:18:18.579445+00:00
908935154;Продам фольцваген тоуран 7 мість євробляха;2900;USD;122468;None;{'city': {'id': 183, 'name': 'Тульчин', 'normalized_name': 'tulchin'}, 'region': {'id': 24, 'name': 'Вінницька область', 'normalized_name': 'vin'}};"https://ireland.apollo.olxcdn.com:443/v1/files/cds61ri42wfi2-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/prodam-foltsvagen-touran-7-mst-vroblyaha-IDZwNyq.html;2025-12-17T12:18:18.573904+00:00
888287426;Електроскутер NISA K3 Преміальна якість в Арт мото мопед скутер;1100;USD;46453;None;{'city': {'id': 145, 'name': 'Черкаси', 'normalized_name': 'cherkassy'}, 'region': {'id': 12, 'name': 'Черкаська область', 'normalized_name': 'chk'}};"https://ireland.apollo.olxcdn.com:443/v1/files/kgbo3pfthji8-UA/image;s=640x480";https://www.olx.ua/d/uk/obyavlenie/elektroskuter-nisa-k3-premalna-yakst-v-art-moto-moped-skuter-IDY7a8y.html;2025-12-17T12:18:18.567578+00:00
